"","store_name","store_type","store_addr","store_lat","store_lon","store_rating"
"2","La Flor de Chile","restaurant","Norte 8, Valparaíso, Viña del Mar, Región de Valparaíso, Chile","-33.015042","-71.551176","4.3"
"3","La Ciboulette","restaurant","Avda Uno Norte 191, Viña del Mar, Valparaíso, Región de Valparaíso, Chile","-33.0213901","-71.5578094","4.4"
"4","Fellini","restaurant","3 Norte con Poniente 6, Viña del Mar, Región de Valparaíso, Chile","-33.01942","-71.558578","4.1"
"5","Le Bistrot Merci","restaurant","Quinta 5, Viña del Mar, Región de Valparaíso, Chile","-33.0232108","-71.5536372","4.5"
"6","Don Vito e Zanoni","restaurant","8 Nte. 375, Viña del Mar, Región de Valparaíso, Chile","-33.0146523","-71.5543205","4.6"
"7","Tierra de Fuego","restaurant","Calle Ocho Norte 65, Viña del Mar, Valparaíso, Región de Valparaíso, Chile","-33.0143084","-71.5560636","4.2"
"8","Chez Gerald","restaurant","Av. Perú 496, Viña del Mar, Región de Valparaíso, Chile","-33.016235","-71.5585607","4.1"
"9","Restorán Rossonero","restaurant","San Martín 469, Viña del Mar, Región de Valparaíso, Chile","-33.0166559","-71.5576023","4.5"
"10","Txipirón Restaurant","restaurant","6 Norte 96, Viña del Mar, Región de Valparaíso, Chile","-33.0163991","-71.5576966","4.3"
"11","Delicias del Mar","restaurant","San Martín 459, Viña del Mar, Región de Valparaíso, Chile","-33.0165888","-71.5577225","4.1"
"12","Portofino Restaurant","restaurant","Calle Bellamar 301, Valparaíso, Región de Valparaíso, Chile","-33.0313354","-71.5877019","4.6"
"13","Restaurant San Luis","restaurant","7 Ote. 1147, Viña del Mar, Región de Valparaíso, Chile","-33.0117487","-71.5412393","4.2"
"14","Ristorante San Marco","restaurant","San Martín 597, Viña del Mar, Región de Valparaíso, Chile","-33.0158069","-71.5565944","4"
"15","A mano Restaurant","restaurant","4 Pte. 416, Viña del Mar, Región de Valparaíso, Chile","-33.0174849","-71.5554729","5"
"16","Castillo del mar","restaurant","Bajada Britania, Viña del Mar, Región de Valparaíso, Chile","-33.0201911","-71.5648797","4.3"
"17","Restaurant ""Travesía"", Viña del Mar, Chile","restaurant","5 Norte 616, Viña del Mar, Región de Valparaíso, Chile","-33.0184071","-71.5518314","4.5"
"18","La Mexicana","meal_delivery","Valparaiso 1137, Viña del Mar, Region V of Valparaiso, Chile","-33.025878","-71.54593","4.6"
"19","The beef cut","restaurant","5 Pte. 413, Viña del Mar, Región de Valparaíso, Chile","-33.0175004","-71.5569333","4.1"
"20","Quinto Poniente","restaurant","5 Pte. 416, Viña del Mar, Región de Valparaíso, Chile","-33.017487","-71.556857","5"
"21","Restaurant Casa Errázuriz","restaurant","593 - Av Edmundo Eluchans, Viña del Mar, Región de Valparaíso, Chile","-32.9692363","-71.541062","4.5"
"22","El Imperio Peruano","restaurant","12 Nte. 650, Viña del Mar, Región de Valparaíso, Chile","-33.0111426","-71.5498861","4.3"
"23","La Dolce Vita","restaurant","San Martín 667, Viña del Mar, Región de Valparaíso, Chile","-33.0147293","-71.5552016","4.5"
"24","Ica Comida Peruana","restaurant","San Martín 415, Viña del Mar, Región de Valparaíso, Chile","-33.0172829","-71.5582478","4.5"
